county_fips,2_or_more_cars_p,0_or_1_car_p,EV DC Fast Count,EV Level1 EVSE Num,EV Level2 EVSE Num,nhb_percentage,hisp_percentage,pov_percentage,white_percentage,state_y,county_name,state_po,party,state_party
47143,0.6224274833900503,0.3775725166099498,0.0,0.0,0.0,0.022281476032855217,0.049466715704303055,0.21150545543704793,0.9058783866617629,TENNESSEE,RHEA,TN,REPUBLICAN,REPUBLICAN
47145,0.6776224776988027,0.3223775223011974,0.0,0.0,0.0,0.02423577896667108,0.017770383953721384,0.14817475471198746,0.9292398434693839,TENNESSEE,ROANE,TN,REPUBLICAN,REPUBLICAN
47147,0.7340869702221522,0.2659130297778478,1.0,0.0,0.0,0.06965274573142594,0.06738867097369636,0.1142564605445316,0.8369145131518227,TENNESSEE,ROBERTSON,TN,REPUBLICAN,REPUBLICAN
47149,0.7011546753389118,0.29884532466108815,12.0,0.0,45.0,0.1417226693756349,0.07781771769425126,0.11592560756427288,0.7165904769346982,TENNESSEE,RUTHERFORD,TN,REPUBLICAN,REPUBLICAN
47151,0.6050787084913248,0.39492129150867517,0.0,0.0,0.0,0.0052837751662567186,0.008882208253621208,0.21859342261091372,0.9733989250250524,TENNESSEE,SCOTT,TN,REPUBLICAN,REPUBLICAN
47153,0.6949090240764566,0.30509097592354345,0.0,0.0,0.0,0.0019008825526137135,0.03509843856076035,0.16361167684996605,0.9372029871011541,TENNESSEE,SEQUATCHIE,TN,REPUBLICAN,REPUBLICAN
47155,0.6488293409121667,0.3511706590878333,5.0,0.0,19.0,0.007186847653369614,0.05828408819466802,0.14831701060371597,0.9035695369052935,TENNESSEE,SEVIER,TN,REPUBLICAN,REPUBLICAN
47157,0.5215582709986867,0.4784417290013133,26.0,0.0,72.0,0.5330697274827776,0.06247245212138676,0.20239059556779312,0.3609094935459256,TENNESSEE,SHELBY,TN,DEMOCRAT,REPUBLICAN
47159,0.6661392405063291,0.3338607594936709,0.0,0.0,2.0,0.026313084592455547,0.026261691849110907,0.14688046047898037,0.9302086545379792,TENNESSEE,SMITH,TN,REPUBLICAN,REPUBLICAN
47161,0.6850934044986656,0.3149065955013344,0.0,0.0,0.0,0.010450342079542891,0.027817457334035036,0.16231862265995037,0.9210585670250357,TENNESSEE,STEWART,TN,REPUBLICAN,REPUBLICAN
47163,0.6316671447334652,0.3683328552665348,12.0,0.0,23.0,0.01833041969196218,0.018292138272487143,0.16378067298735438,0.9353937243993007,TENNESSEE,SULLIVAN,TN,REPUBLICAN,REPUBLICAN
47165,0.6869220808896337,0.31307791911036637,1.0,0.0,7.0,0.07013311194441504,0.046993141029569904,0.09379126665292273,0.8474422336507441,TENNESSEE,SUMNER,TN,REPUBLICAN,REPUBLICAN
